variable,en,en_html,de,de_html,zh,zh_html,it,it_html,tw,tw_html,it,it_html,pers,pers_html
welcome_introduction,Welcome to the Study! Thank you for participating. Please read the instructions carefully. Please press F11 on your keyboard to enter fullscreen mode before continuing.,"<h1>Welcome to the Study!</h1><p>Thank you for participating. Please read the instructions carefully.</p><p>Please press F11 on your keyboard to enter fullscreen mode before continuing.</p><button id=""start-button"">Start Study</button>","Willkommen zur Studie! Vielen Dank für Ihre Teilnahme. Bitte lesen Sie die Anweisungen sorgfältig. Bitte drücken Sie F11 auf Ihrer Tastatur, um vor dem Weitergehen in den Vollbildmodus zu wechseln.","<h1>Willkommen zur Studie!</h1><p>Vielen Dank für Ihre Teilnahme. Bitte lesen Sie die Anweisungen sorgfältig.</p><p>Bitte drücken Sie F11 auf Ihrer Tastatur, um vor dem Weitergehen in den Vollbildmodus zu wechseln.</p><button id=""start-button"">Studie starten</button>",欢迎参与本研究！感谢您的参与。请仔细阅读以下说明。请按键盘上的 F11 键进入全屏模式，然后再继续。,"<h1>欢迎参与本研究！</h1><p>感谢您的参与。请仔细阅读以下说明。</p><p>请按键盘上的 F11 键进入全屏模式，然后再继续。</p><button id=""start-button"">开始</button>","Willkommen zur Studie! Vielen Dank für Ihre Teilnahme. Bitte lesen Sie die Anweisungen sorgfältig. Bitte drücken Sie F11 auf Ihrer Tastatur, um vor dem Weitergehen in den Vollbildmodus zu wechseln.","<h1>Willkommen zur Studie!</h1><p>Vielen Dank für Ihre Teilnahme. Bitte lesen Sie die Anweisungen sorgfältig.</p><p>Bitte drücken Sie F11 auf Ihrer Tastatur, um vor dem Weitergehen in den Vollbildmodus zu wechseln.</p><button id=""start-button"">Studie starten</button>",,,,,,
welcome_popup_id,Please enter your subject ID:,,Bitte geben Sie Ihre Teilnehmer-ID ein:,Bitte geben Sie Ihre Teilnehmer-ID ein:,请输入您的考生编号：,,Bitte geben Sie Ihre Teilnehmer-ID ein:,Bitte geben Sie Ihre Teilnehmer-ID ein:,,,,,,
welcome_popup_F11,Have you entered fullscreen mode by pressing F11?,,Haben Sie durch Drücken von F11 den Vollbildmodus aktiviert?,Haben Sie durch Drücken von F11 den Vollbildmodus aktiviert?,你按F11键进入全屏模式了吗？,,Haben Sie durch Drücken von F11 den Vollbildmodus aktiviert?,Haben Sie durch Drücken von F11 den Vollbildmodus aktiviert?,,,,,,
welcome_popup_F11_reminder,Please press F11 to enter fullscreen mode before continuing.,,"Bitte drücken Sie F11, um vor dem Weitergehen in den Vollbildmodus zu wechseln.","Bitte drücken Sie F11, um vor dem Weitergehen in den Vollbildmodus zu wechseln.",请按F11进入全屏模式后再继续。,,"Bitte drücken Sie F11, um vor dem Weitergehen in den Vollbildmodus zu wechseln.","Bitte drücken Sie F11, um vor dem Weitergehen in den Vollbildmodus zu wechseln.",,,,,,
welcome_phone,Mobile Device Detected. Please come back to this experiment on a PC or laptop. Completing the experiment on mobile devices may jeopardize data quality. Your link continues to be valid and no data has been saved.,<h1>Mobile Device Detected</h1><p>Please come back to this experiment on a PC or laptop.</p><p>Completing the experiment on mobile devices may jeopardize data quality.</p><p>Your link continues to be valid and no data has been saved.</p>,Mobiles Gerät erkannt. Bitte führen Sie dieses Experiment auf einem PC oder Laptop durch. Das Abschließen des Experiments auf mobilen Geräten kann die Datenqualität beeinträchtigen. Ihr Link bleibt gültig und es wurden keine Daten gespeichert.,<h1>Mobiles Gerät erkannt</h1><p>Bitte führen Sie dieses Experiment auf einem PC oder Laptop durch.</p><p>Das Abschließen des Experiments auf mobilen Geräten kann die Datenqualität beeinträchtigen.</p><p>Ihr Link bleibt gültig und es wurden keine Daten gespeichert.</p>,检测到移动设备。请使用电脑或笔记本电脑完成此实验。在移动设备上完成实验可能会影响数据质量。您的链接仍然有效，且未保存任何数据。,<h1>检测到移动设备</h1><p>请使用电脑或笔记本电脑完成此实验。</p><p>在移动设备上完成实验可能会影响数据质量。</p><p>您的链接仍然有效，且未保存任何数据。</p>,Mobiles Gerät erkannt. Bitte führen Sie dieses Experiment auf einem PC oder Laptop durch. Das Abschließen des Experiments auf mobilen Geräten kann die Datenqualität beeinträchtigen. Ihr Link bleibt gültig und es wurden keine Daten gespeichert.,<h1>Mobiles Gerät erkannt</h1><p>Bitte führen Sie dieses Experiment auf einem PC oder Laptop durch.</p><p>Das Abschließen des Experiments auf mobilen Geräten kann die Datenqualität beeinträchtigen.</p><p>Ihr Link bleibt gültig und es wurden keine Daten gespeichert.</p>,,,,,,
welcome_phone_error,Mobile device detected. Experiment aborted.,Mobile device detected. Experiment aborted.,Mobiles Gerät erkannt. Experiment abgebrochen.,Mobiles Gerät erkannt. Experiment abgebrochen.,检测到移动设备。实验中止。,检测到移动设备。实验中止。,Mobiles Gerät erkannt. Experiment abgebrochen.,Mobiles Gerät erkannt. Experiment abgebrochen.,,,,,,
goodbye_text,Thank You! Your participation is greatly appreciated. Saving your data... Press F11 again to exit fullscreen mode. Click Finish to close the window.,"<h1>Thank You!</h1><p>Your participation is greatly appreciated.</p><p id=""status"">Saving your data...</p><p style=""color: red;""><strong>Press <span style=""font-weight: bold;"">F11</span> again to exit fullscreen mode.</strong></p><p>Click <button id=""finish-btn"" style=""display: none;"">Finish</button> to close the window.</p>","Vielen Dank! Ihre Teilnahme wird sehr geschätzt. Ihre Daten werden gespeichert... Drücken Sie erneut F11, um den Vollbildmodus zu verlassen. Klicken Sie auf Fertig, um das Fenster zu schließen.","<h1>Vielen Dank!</h1><p>Ihre Teilnahme wird sehr geschätzt.</p><p id=""status"">Ihre Daten werden gespeichert...</p><p style=""color: red;""><strong>Drücken Sie <span style=""font-weight: bold;"">F11</span> erneut, um den Vollbildmodus zu verlassen.</strong></p><p>Klicken Sie auf <button id=""finish-btn"" style=""display: none;"">Fertig</button>, um das Fenster zu schließen.</p>",谢谢！非常感谢您的参与。正在保存数据...再次按 F11 键退出全屏模式。点击“完成”关闭窗口。,"<h1>谢谢！</h1><p>非常感谢您的参与。</p><p id=""status"">正在保存数据...</p><p style=""color: red;""><strong>再次按 <span style=""font-weight: bold;"">F11</span> 键退出全屏模式。</strong></p><p>点击 <button id=""finish-btn"" style=""display: none;"">结束</button> 关闭窗口。</p>","Vielen Dank! Ihre Teilnahme wird sehr geschätzt. Ihre Daten werden gespeichert... Drücken Sie erneut F11, um den Vollbildmodus zu verlassen. Klicken Sie auf Fertig, um das Fenster zu schließen.","<h1>Vielen Dank!</h1><p>Ihre Teilnahme wird sehr geschätzt.</p><p id=""status"">Ihre Daten werden gespeichert...</p><p style=""color: red;""><strong>Drücken Sie <span style=""font-weight: bold;"">F11</span> erneut, um den Vollbildmodus zu verlassen.</strong></p><p>Klicken Sie auf <button id=""finish-btn"" style=""display: none;"">Fertig</button>, um das Fenster zu schließen.</p>",,,,,,
goodbye_saved,Data saved!,Data saved!,Daten gespeichert!,Daten gespeichert!,数据已保存！,数据已保存！,,,,,,,,
goodbye_save_failed,Data save failed!,Data save failed!,Datenspeicherung nicht erfolgreich!,Datenspeicherung nicht erfolgreich!,数据保存失败！,数据保存失败！,,,,,,,,
goodby_button,Finish,Finish,Fertig,Fertig,结束,结束,Fertig,Fertig,,,,,,
